rheaid	reactionEquation	compoundID_L	compoundID_R	compoundName_L	compoundName_R
RHEA:10000	H2O + pentanamide = NH4(+) + pentanoate	CHEBI:15377	CHEBI:28938	H2O	NH4(+)
RHEA:10008	[protein]-dithiol + a hydroperoxide = [protein]-disulfide + an alcohol + H2O	NA	CHEBI:15377,CHEBI:30879	NA	H2O,an alcohol
RHEA:10016	H2O + O-sinapoylcholine = choline + H(+) + trans-sinapate	CHEBI:15377	CHEBI:15378,CHEBI:15354	H2O	H(+),choline
RHEA:10020	H2O + L-saccharopine + NADP(+) = (S)-2-amino-6-oxohexanoate + H(+) + L-glutamate + NADPH	CHEBI:15377,CHEBI:58349	CHEBI:29985,CHEBI:15378,CHEBI:57783,CHEBI:58321	H2O,NADP(+)	L-glutamate,H(+),NADPH,(S)-2-amino-6-oxohexanoate
RHEA:10032	[protein]-C-terminal-L-glutamine + H2O = [protein]-C-terminal-L-glutamate + NH4(+)	CHEBI:15377	CHEBI:28938	H2O	NH4(+)
RHEA:10044	cyclohexanol + NAD(+) = cyclohexanone + H(+) + NADH	CHEBI:57540	CHEBI:57945,CHEBI:15378	NAD(+)	NADH,H(+)
RHEA:10048	methanethiol + O-acetyl-L-homoserine = acetate + H(+) + L-methionine	CHEBI:16007	CHEBI:57844,CHEBI:15378,CHEBI:30089	methanethiol	L-methionine,H(+),acetate
RHEA:10052	(R)-2-hydroxy-4-methylpentanoate + NAD(+) = 4-methyl-2-oxopentanoate + H(+) + NADH	CHEBI:57540	CHEBI:57945,CHEBI:15378	NAD(+)	NADH,H(+)
RHEA:10056	(3S)-3-aminobutanoyl-CoA = (2E)-butenoyl-CoA + NH4(+)	NA	CHEBI:28938,CHEBI:57332	NA	NH4(+),(2E)-butenoyl-CoA
RHEA:10060	acetyl-CoA + D-tryptophan = CoA + H(+) + N-acetyl-D-tryptophan	CHEBI:57288	CHEBI:57287,CHEBI:15378	acetyl-CoA	CoA,H(+)
RHEA:10064	(6R)-5,10-methylene-5,6,7,8-tetrahydrofolate + D-alanine + H2O = (6S)-5,6,7,8-tetrahydrofolate + 2-methylserine	CHEBI:15377,CHEBI:57416,CHEBI:15636	CHEBI:57453	H2O,D-alanine,(6R)-5,10-methylene-5,6,7,8-tetrahydrofolate	(6S)-5,6,7,8-tetrahydrofolate
RHEA:10068	4-O-[(D-ribitylphospho)(n)-D-ribitylphospho-(2R)-glycerylphospho]-N-acetyl-beta-D-mannosaminyl-(1->4)-N-acetyl-alpha-D-glucosaminyl di-trans,octa-cis-undecaprenyl diphosphate + n UDP-alpha-D-glucose = 4-O-[(2-beta-D-glucosyl-D-ribitylphospho)(n)-D-ribitylphospho-(2R)-glycerylphospho]-N-acetyl-beta-D-mannosaminyl-(1->4)-N-acetyl-alpha-D-glucosaminyl di-trans,octa-cis-undecaprenyl diphosphate + n H(+) + n UDP	CHEBI:58885	CHEBI:58223,CHEBI:15378	UDP-alpha-D-glucose	UDP,H(+)
RHEA:10076	H2O + lactose = D-galactose + D-glucose	CHEBI:15377	CHEBI:4139,CHEBI:4167	H2O	D-galactose,D-glucose
RHEA:10080	dihydrophloroglucinol + NADP(+) = 1,3,5-trihydroxybenzene + NADPH	CHEBI:58349	CHEBI:57783	NADP(+)	NADPH
RHEA:10088	sucrose + UDP-alpha-D-galactose = 6(F)-alpha-D-galactosylsucrose + H(+) + UDP	CHEBI:17992,CHEBI:66914	CHEBI:58223,CHEBI:15378	sucrose,UDP-alpha-D-galactose	UDP,H(+)
RHEA:10092	a 2'-deoxyribonucleoside 3'-phosphate + H2O = a 2'-deoxyribonucleoside + phosphate	CHEBI:15377	CHEBI:43474	H2O	phosphate
RHEA:10100	a sterol ester + H2O = a fatty acid + a sterol + H(+)	CHEBI:15377	CHEBI:15378,CHEBI:28868	H2O	H(+),a fatty acid
RHEA:10108	(7S)-salutaridinol + NADP(+) = H(+) + NADPH + salutaridine	CHEBI:58349	CHEBI:15378,CHEBI:57783	NADP(+)	H(+),NADPH
RHEA:10112	L-homocysteine + L-serine = H2O + L,L-cystathionine	CHEBI:58199,CHEBI:33384	CHEBI:15377	L-homocysteine,L-serine	H2O
RHEA:10120	adenosine in double-stranded RNA + H(+) + H2O = inosine in double-stranded RNA + NH4(+)	CHEBI:15377,CHEBI:15378	CHEBI:28938	H2O,H(+)	NH4(+)
RHEA:10140	NADP(+) + prostaglandin F2alpha = H(+) + NADPH + prostaglandin D2	CHEBI:58349	CHEBI:15378,CHEBI:57783	NADP(+)	H(+),NADPH
RHEA:10144	a ribonucleoside 3'-phosphate + H2O = a ribonucleoside + phosphate	CHEBI:15377	CHEBI:43474	H2O	phosphate
RHEA:10148	blasticidin S + H(+) + H2O = deaminohydroxyblasticidin S + NH4(+)	CHEBI:15377,CHEBI:15378	CHEBI:28938	H2O,H(+)	NH4(+)
RHEA:10160	L-iditol + NAD(+) = H(+) + keto-L-sorbose + NADH	CHEBI:57540	CHEBI:57945,CHEBI:15378	NAD(+)	NADH,H(+)
RHEA:10164	(2R)-2-phosphoglycerate = H2O + phosphoenolpyruvate	NA	CHEBI:15377,CHEBI:58702	NA	H2O,phosphoenolpyruvate
RHEA:10168	15,16-dihydrobiliverdin + oxidized 2[4Fe-4S]-[ferredoxin] = biliverdin IXalpha + 2 H(+) + reduced 2[4Fe-4S]-[ferredoxin]	NA	CHEBI:15378	NA	H(+)
RHEA:10172	(3R)-hydroxybutanoate dimer + H2O = 2 (R)-3-hydroxybutanoate + H(+)	CHEBI:15377	CHEBI:15378	H2O	H(+)
RHEA:10176	(2S,3R)-2-hydroxy-3-(indol-3-yl)butanoate + NAD(+) = (R)-3-(indol-3-yl)-2-oxobutanoate + H(+) + NADH	CHEBI:57540	CHEBI:57945,CHEBI:15378	NAD(+)	NADH,H(+)
RHEA:10184	(4,5-dihydro-5-oxofuran-2-yl)-acetate + H2O = 3-oxoadipate + H(+)	CHEBI:15377	CHEBI:15378	H2O	H(+)
RHEA:10188	acetoacetyl-CoA + acetyl-CoA + H2O = (3S)-hydroxy-3-methylglutaryl-CoA + CoA + H(+)	CHEBI:15377,CHEBI:57288,CHEBI:57286	CHEBI:57287,CHEBI:15378	H2O,acetyl-CoA,acetoacetyl-CoA	CoA,H(+)
RHEA:10196	(1R,6R)-6-hydroxy-2-succinyl-cyclohexa-2,4-diene-1-carboxylate = 2-succinylbenzoate + H2O	NA	CHEBI:15377	NA	H2O
RHEA:10200	butanoate + NAD(+) = (2E)-2-butenoate + H(+) + NADH	CHEBI:17968,CHEBI:57540	CHEBI:57945,CHEBI:15378	butanoate,NAD(+)	NADH,H(+)
RHEA:10204	dimethylamine + H(+) + H2O + oxidized [electron-transfer flavoprotein] = formaldehyde + methylamine + reduced [electron-transfer flavoprotein]	GENERIC:10685,CHEBI:15377,CHEBI:15378	GENERIC:10686,CHEBI:16842,CHEBI:59338	oxidized [electron-transfer flavoprotein],H2O,H(+)	reduced [electron-transfer flavoprotein],formaldehyde,methylamine
RHEA:10208	an N-terminal L-alpha-aminoacyl-[protein] + L-arginyl-tRNA(Arg) = H(+) + N-terminal L-arginyl-L-amino acid-[protein] + tRNA(Arg)	NA	CHEBI:15378	NA	H(+)
RHEA:10212	2-oxoglutarate + 5-aminopentanoate = 5-oxopentanoate + L-glutamate	CHEBI:16810	CHEBI:29985	2-oxoglutarate	L-glutamate
RHEA:10228	citrate = cis-aconitate + H2O	CHEBI:16947	CHEBI:15377	citrate	H2O
RHEA:10232	5,6-dihydrouridine 5'-monophosphate + diphosphate = 5,6-dihydrouracil + 5-phospho-alpha-D-ribose 1-diphosphate	CHEBI:33019	CHEBI:58017	diphosphate	5-phospho-alpha-D-ribose 1-diphosphate
RHEA:10236	trans-2-coumarate + UDP-alpha-D-glucose = H(+) + trans-beta-D-glucosyl-2-hydroxycinnamate + UDP	CHEBI:58885	CHEBI:58223,CHEBI:15378	UDP-alpha-D-glucose	UDP,H(+)
RHEA:10240	a 2,3-saturated acyl-[ACP] + NAD(+) = a (2E)-enoyl-[ACP] + H(+) + NADH	CHEBI:57540	CHEBI:57945,CHEBI:15378	NAD(+)	NADH,H(+)
RHEA:10244	4-fumarylacetoacetate + H2O = acetoacetate + fumarate + H(+)	CHEBI:15377	CHEBI:29806,CHEBI:15378,CHEBI:13705	H2O	fumarate,H(+),acetoacetate
RHEA:10248	dUTP + H2O = diphosphate + dUMP + H(+)	CHEBI:15377	CHEBI:33019,CHEBI:15378	H2O	diphosphate,H(+)
RHEA:10268	2-dehydro-3-deoxy-D-glucarate = 2-hydroxy-3-oxopropanoate + pyruvate	NA	CHEBI:15361	NA	pyruvate
RHEA:10284	L-leucine = (3R)-beta-leucine	CHEBI:57427	NA	L-leucine	NA
RHEA:10288	H2O + L-rhamnono-1,4-lactone = H(+) + L-rhamnonate	CHEBI:15377	CHEBI:15378	H2O	H(+)
RHEA:10292	acetyl-CoA + D-glucosamine 6-phosphate = CoA + H(+) + N-acetyl-D-glucosamine 6-phosphate	CHEBI:57288	CHEBI:57287,CHEBI:15378	acetyl-CoA	CoA,H(+)
RHEA:10296	D-glyceraldehyde 3-phosphate + NADP(+) + phosphate = (2R)-3-phospho-glyceroyl phosphate + H(+) + NADPH	CHEBI:58349,CHEBI:43474,CHEBI:59776	CHEBI:15378,CHEBI:57783	NADP(+),phosphate,D-glyceraldehyde 3-phosphate	H(+),NADPH
RHEA:10300	D-glyceraldehyde 3-phosphate + NAD(+) + phosphate = (2R)-3-phospho-glyceroyl phosphate + H(+) + NADH	CHEBI:57540,CHEBI:43474,CHEBI:59776	CHEBI:57945,CHEBI:15378	NAD(+),phosphate,D-glyceraldehyde 3-phosphate	NADH,H(+)
RHEA:10304	a 2-acyl-sn-glycero-3-phosphoethanolamine + a fatty acyl-[ACP] = a 1,2-diacyl-sn-glycero-3-phosphoethanolamine + holo-[ACP]	NA	CHEBI:64612,GENERIC:9685	NA	a 1,2-diacyl-sn-glycero-3-phosphoethanolamine,holo-[ACP]
RHEA:10320	trans-3-hydroxy-L-proline = 1-pyrroline-2-carboxylate + H2O	NA	CHEBI:15377	NA	H2O
RHEA:10324	an L-glycol + NADP(+) = a 2-hydroxycarbonyl + H(+) + NADPH	CHEBI:58349	CHEBI:15378,CHEBI:57783	NADP(+)	H(+),NADPH
RHEA:10328	an L-glycol + NAD(+) = a 2-hydroxycarbonyl + H(+) + NADH	CHEBI:57540	CHEBI:57945,CHEBI:15378	NAD(+)	NADH,H(+)
RHEA:10336	citrate = isocitrate	CHEBI:16947	NA	citrate	NA
RHEA:10340	(2E,6E)-farnesyl diphosphate = (-)-vetispiradiene + diphosphate	CHEBI:175763	CHEBI:33019	(2E,6E)-farnesyl diphosphate	diphosphate
RHEA:10344	1-O-(1Z-alkenyl)-sn-glycero-3-phosphocholine + an acyl-CoA = 1-O-(1Z-alkenyl)-2-acyl-sn-glycero-3-phosphocholine + CoA	CHEBI:58342	CHEBI:57287	an acyl-CoA	CoA
RHEA:10352	an N-acetylarylalkylamine + H2O = acetate + an arylalkylamine	CHEBI:15377	CHEBI:30089	H2O	acetate
RHEA:10356	3alpha-hydroxy-5beta-androstan-17-one + NAD(+) = 5beta-androstane-3,17-dione + H(+) + NADH	CHEBI:57540	CHEBI:57945,CHEBI:15378	NAD(+)	NADH,H(+)
RHEA:10360	3,4-dihydrocoumarin + H2O = 3-(2-hydroxyphenyl)propanoate + H(+)	CHEBI:15377	CHEBI:15378	H2O	H(+)
RHEA:10364	2-oxoglutarate + dodecanoyl-CoA + H2O = (3S,4S)-3-hydroxytetradecane-1,3,4-tricarboxylate + CoA + H(+)	CHEBI:15377,CHEBI:16810,CHEBI:57375	CHEBI:57287,CHEBI:15378	H2O,2-oxoglutarate,dodecanoyl-CoA	CoA,H(+)
RHEA:10368	2-oxoglutarate + dTDP-4-amino-4,6-dideoxy-D-galactose = dTDP-4-dehydro-6-deoxy-D-galactose + L-glutamate	CHEBI:16810	CHEBI:29985	2-oxoglutarate	L-glutamate
RHEA:10380	diphosphate + orotidine 5'-phosphate = 5-phospho-alpha-D-ribose 1-diphosphate + orotate	CHEBI:33019	CHEBI:58017,CHEBI:30839	diphosphate	5-phospho-alpha-D-ribose 1-diphosphate,orotate
RHEA:10392	(E)-cinnamyl alcohol + NADP(+) = (E)-cinnamaldehyde + H(+) + NADPH	CHEBI:58349	CHEBI:15378,CHEBI:57783	NADP(+)	H(+),NADPH
RHEA:10400	L-glutamine + pyruvate = 2-oxoglutaramate + L-alanine	CHEBI:15361,CHEBI:58359	CHEBI:57972	pyruvate,L-glutamine	L-alanine
RHEA:10408	4,8,12-trimethyltridecanoyl-CoA + propanoyl-CoA = 3-oxopristanoyl-CoA + CoA	CHEBI:57392	CHEBI:57287	propanoyl-CoA	CoA
RHEA:10416	fumarate + toluene = 2-benzylsuccinate	CHEBI:29806	NA	fumarate	NA
RHEA:10420	pyruvate + taurine = L-alanine + sulfoacetaldehyde	CHEBI:15361,CHEBI:507393	CHEBI:57972	pyruvate,taurine	L-alanine
RHEA:10424	H2O + N-benzoylglycine = benzoate + glycine	CHEBI:15377	CHEBI:16150,CHEBI:57305	H2O	benzoate,glycine
