rheaid	reactionEquation	compoundID_L	compoundID_R	compoundName_L	compoundName_R
RHEA:10012	(R)-6-hydroxynicotine + H2O + O2 = 6-hydroxypseudooxynicotine + H2O2	CHEBI:15379,CHEBI:15377	CHEBI:16240	O2,H2O	H2O2
RHEA:10024	L-lysyl-[histone] + S-adenosyl-L-methionine = H(+) + N(6)-methyl-L-lysyl-[histone] + S-adenosyl-L-homocysteine	CHEBI:59789	CHEBI:15378,CHEBI:57856	S-adenosyl-L-methionine	H(+),S-adenosyl-L-homocysteine
RHEA:10036	4-hydroxy-3-methoxy-benzenemethanol + O2 = 4-hydroxy-3-methoxybenzaldehyde + H2O2	CHEBI:15379	CHEBI:16240	O2	H2O2
RHEA:10072	N,N-dimethylglycine + S-adenosyl-L-methionine = betaine + H(+) + S-adenosyl-L-homocysteine	CHEBI:59789	CHEBI:15378,CHEBI:57856,CHEBI:17750	S-adenosyl-L-methionine	H(+),S-adenosyl-L-homocysteine,betaine
RHEA:10084	3,4-dihydroxybenzoate + O2 = 3-carboxy-cis,cis-muconate + 2 H(+)	CHEBI:15379,CHEBI:36241	CHEBI:15378	O2,3,4-dihydroxybenzoate	H(+)
RHEA:10096	a fatty acyl-[ACP] + S-adenosyl-L-methionine = an N-acyl-L-homoserine lactone + H(+) + holo-[ACP] + S-methyl-5'-thioadenosine	CHEBI:59789	CHEBI:15378,CHEBI:17509,GENERIC:9685	S-adenosyl-L-methionine	H(+),S-methyl-5'-thioadenosine,holo-[ACP]
RHEA:10104	2-oxoglutarate + gibberellin A20 + O2 = CO2 + gibberellin A1 + succinate	CHEBI:15379,CHEBI:16810	CHEBI:30031,CHEBI:16526	O2,2-oxoglutarate	succinate,CO2
RHEA:10116	6-phospho-D-gluconate + NADP(+) = CO2 + D-ribulose 5-phosphate + NADPH	CHEBI:58349	CHEBI:58121,CHEBI:57783,CHEBI:16526	NADP(+)	D-ribulose 5-phosphate,NADPH,CO2
RHEA:10124	H(+) + NADPH + O2 + phenylacetone = benzyl acetate + H2O + NADP(+)	CHEBI:15379,CHEBI:15378,CHEBI:57783	CHEBI:15377,CHEBI:58349	O2,H(+),NADPH	H2O,NADP(+)
RHEA:10136	2 glyoxylate + H(+) = 2-hydroxy-3-oxopropanoate + CO2	CHEBI:36655,CHEBI:15378	CHEBI:16526	glyoxylate,H(+)	CO2
RHEA:10156	dihydrochelirubine + O2 + reduced [NADPH--hemoprotein reductase] = 12-hydroxydihydrochelirubine + H(+) + H2O + oxidized [NADPH--hemoprotein reductase]	GENERIC:11964,CHEBI:15379	GENERIC:11965,CHEBI:15377,CHEBI:15378	reduced [NADPH--hemoprotein reductase],O2	oxidized [NADPH--hemoprotein reductase],H2O,H(+)
RHEA:10180	(6S)-10-formyltetrahydrofolate + H2O + NADP(+) = (6S)-5,6,7,8-tetrahydrofolate + CO2 + H(+) + NADPH	CHEBI:15377,CHEBI:58349	CHEBI:15378,CHEBI:57783,CHEBI:16526,CHEBI:57453	H2O,NADP(+)	H(+),NADPH,CO2,(6S)-5,6,7,8-tetrahydrofolate
RHEA:10216	[DNA-directed RNA polymerase] + ATP = ADP + H(+) + phospho-[DNA-directed RNA polymerase]	CHEBI:30616	CHEBI:456216,CHEBI:15378	ATP	ADP,H(+)
RHEA:10220	ATP + L-tyrosine + tRNA(Tyr) = AMP + diphosphate + H(+) + L-tyrosyl-tRNA(Tyr)	CHEBI:58315,CHEBI:30616	CHEBI:33019,CHEBI:456215,CHEBI:15378	L-tyrosine,ATP	diphosphate,AMP,H(+)
RHEA:10224	ATP + pyridoxal = ADP + H(+) + pyridoxal 5'-phosphate	CHEBI:17310,CHEBI:30616	CHEBI:456216,CHEBI:15378	pyridoxal,ATP	ADP,H(+)
RHEA:10256	[(1->4)-6-phospho-alpha-D-glucosyl](n) + n ATP + n H2O = [(1->4)-3,6-bisphospho-alpha-D-glucosyl](n) + n AMP + 2n H(+) + n phosphate	CHEBI:15377,CHEBI:30616	CHEBI:456215,CHEBI:15378,CHEBI:43474	H2O,ATP	AMP,H(+),phosphate
RHEA:10260	ATP + H2O + Mg(2+)(out) = ADP + H(+) + Mg(2+)(in) + phosphate	CHEBI:15377,CHEBI:30616	CHEBI:456216,CHEBI:15378,CHEBI:43474	H2O,ATP	ADP,H(+),phosphate
RHEA:10276	5-diphospho-1D-myo-inositol 1,2,3,4,6-pentakisphosphate + ATP + H(+) = 1,5-bis(diphospho)-1D-myo-inositol 2,3,4,6-tetrakisphosphate + ADP	CHEBI:15378,CHEBI:30616	CHEBI:456216	H(+),ATP	ADP
RHEA:10280	1,7-dimethylxanthine + S-adenosyl-L-methionine = caffeine + H(+) + S-adenosyl-L-homocysteine	CHEBI:59789	CHEBI:15378,CHEBI:57856	S-adenosyl-L-methionine	H(+),S-adenosyl-L-homocysteine
RHEA:10312	H(+) + NADH + O2 + terephthalate = (3S,4R)-3,4-dihydroxycyclohexa-1,5-diene-1,4-dicarboxylate + NAD(+)	CHEBI:15379,CHEBI:57945,CHEBI:15378	CHEBI:57540	O2,NADH,H(+)	NAD(+)
RHEA:10316	2-oxoglutarate + O2 + thymine = 5-hydroxymethyluracil + CO2 + succinate	CHEBI:15379,CHEBI:16810	CHEBI:30031,CHEBI:16526	O2,2-oxoglutarate	succinate,CO2
RHEA:10348	5-oxo-L-proline + ATP + 2 H2O = ADP + H(+) + L-glutamate + phosphate	CHEBI:15377,CHEBI:30616	CHEBI:29985,CHEBI:456216,CHEBI:15378,CHEBI:43474	H2O,ATP	L-glutamate,ADP,H(+),phosphate
RHEA:10372	CoA + NAD(+) + phenylglyoxylate = benzoyl-CoA + CO2 + NADH	CHEBI:57287,CHEBI:57540	CHEBI:57369,CHEBI:57945,CHEBI:16526	CoA,NAD(+)	benzoyl-CoA,NADH,CO2
RHEA:10376	ATP + Cu(2+)(in) + H2O = ADP + Cu(2+)(out) + H(+) + phosphate	CHEBI:15377,CHEBI:30616	CHEBI:456216,CHEBI:15378,CHEBI:43474	H2O,ATP	ADP,H(+),phosphate
RHEA:10404	all-trans-beta-carotene + O2 = 2 retinal	CHEBI:15379	NA	O2	NA
RHEA:10428	(5Z,8Z,11Z,14Z)-eicosatetraenoate + O2 = (12S)-hydroperoxy-(5Z,8Z,10E,14Z)-eicosatetraenoate	CHEBI:15379,CHEBI:32395	NA	O2,(5Z,8Z,11Z,14Z)-eicosatetraenoate	NA
RHEA:10432	2-(acetamidomethylene)succinate + H(+) + 2 H2O = acetate + CO2 + NH4(+) + succinate semialdehyde	CHEBI:15377,CHEBI:15378	CHEBI:28938,CHEBI:57706,CHEBI:16526,CHEBI:30089	H2O,H(+)	NH4(+),succinate semialdehyde,CO2,acetate
RHEA:10444	(S)-reticuline + S-adenosyl-L-methionine = (S)-laudanine + H(+) + S-adenosyl-L-homocysteine	CHEBI:59789	CHEBI:15378,CHEBI:57856	S-adenosyl-L-methionine	H(+),S-adenosyl-L-homocysteine
RHEA:10448	2-oxoglutarate + a flavanone + O2 = a flavone + CO2 + H2O + succinate	CHEBI:15379,CHEBI:16810	CHEBI:15377,CHEBI:30031,CHEBI:16526	O2,2-oxoglutarate	H2O,succinate,CO2
RHEA:10452	2-(L-cystein-S-yl)-2-(1H-indol-3-yl)-acetonitrile + O2 + reduced [NADPH--hemoprotein reductase] = (R)-dihydrocamalexate + 2 H(+) + 2 H2O + hydrogen cyanide + oxidized [NADPH--hemoprotein reductase]	GENERIC:11964,CHEBI:15379	GENERIC:11965,CHEBI:15377,CHEBI:18407,CHEBI:15378	reduced [NADPH--hemoprotein reductase],O2	oxidized [NADPH--hemoprotein reductase],H2O,hydrogen cyanide,H(+)
RHEA:10488	5-formyltetrahydrofolate + ATP = 5,10-methenyltetrahydrofolate + ADP + phosphate	CHEBI:30616	CHEBI:456216,CHEBI:43474	ATP	ADP,phosphate
RHEA:10496	L-arginyl-[myelin basic protein] + S-adenosyl-L-methionine = H(+) + N(omega)-methyl-L-arginyl-[myelin basic protein] + S-adenosyl-L-homocysteine	CHEBI:59789	CHEBI:15378,CHEBI:57856	S-adenosyl-L-methionine	H(+),S-adenosyl-L-homocysteine
RHEA:10504	7alpha-hydroxycholest-4-en-3-one + H(+) + NADPH + O2 = 7alpha,12alpha-dihydroxycholest-4-en-3-one + H2O + NADP(+)	CHEBI:15379,CHEBI:15378,CHEBI:57783	CHEBI:15377,CHEBI:58349	O2,H(+),NADPH	H2O,NADP(+)
RHEA:10528	dihydrosanguinarine + O2 + reduced [NADPH--hemoprotein reductase] = 10-hydroxydihydrosanguinarine + H(+) + H2O + oxidized [NADPH--hemoprotein reductase]	GENERIC:11964,CHEBI:15379	GENERIC:11965,CHEBI:15377,CHEBI:15378	reduced [NADPH--hemoprotein reductase],O2	oxidized [NADPH--hemoprotein reductase],H2O,H(+)
RHEA:10548	L-arginine + O2 = 4-guanidinobutanamide + CO2 + H2O	CHEBI:15379,CHEBI:32682	CHEBI:15377,CHEBI:16526	O2,L-arginine	H2O,CO2
RHEA:10552	D-glucose + O2 = 2-dehydro-D-glucose + H2O2	CHEBI:15379,CHEBI:4167	CHEBI:16240	O2,D-glucose	H2O2
RHEA:10580	(6S)-5,6,7,8-tetrahydrofolyl-(gamma-L-Glu)n + ATP + L-glutamate = (6S)-5,6,7,8-tetrahydrofolyl-(gamma-L-Glu)n+1 + ADP + H(+) + phosphate	CHEBI:29985,CHEBI:30616	CHEBI:456216,CHEBI:15378,CHEBI:43474	L-glutamate,ATP	ADP,H(+),phosphate
RHEA:10584	4-coumaroyl-CoA + 3 H(+) + 3 malonyl-CoA + NADPH = 3 CO2 + 4 CoA + H2O + isoliquiritigenin + NADP(+)	CHEBI:57355,CHEBI:15378,CHEBI:57783,CHEBI:57384	CHEBI:57287,CHEBI:15377,CHEBI:16526,CHEBI:58349	4-coumaroyl-CoA,H(+),NADPH,malonyl-CoA	CoA,H2O,CO2,NADP(+)
RHEA:10588	4 (R)-methylmalonyl-CoA + a long-chain acyl-[mycocerosate synthase] + 12 H(+) + 8 NADPH = a tetramethylated-mycocerosoyl-[mycocerosate synthase] + 4 CO2 + 4 CoA + 4 H2O + 8 NADP(+)	CHEBI:15378,CHEBI:57783	CHEBI:57287,CHEBI:15377,CHEBI:16526,CHEBI:58349	H(+),NADPH	CoA,H2O,CO2,NADP(+)
RHEA:10592	a 3',5'-unsubstituted flavanone + O2 + reduced [NADPH--hemoprotein reductase] = a 3'-hydroxy,5'-unsubstituted flavanone + H(+) + H2O + oxidized [NADPH--hemoprotein reductase]	GENERIC:11964,CHEBI:15379	GENERIC:11965,CHEBI:15377,CHEBI:15378	reduced [NADPH--hemoprotein reductase],O2	oxidized [NADPH--hemoprotein reductase],H2O,H(+)
RHEA:10596	ATP + L-tyrosyl-[protein] = ADP + H(+) + O-phospho-L-tyrosyl-[protein]	CHEBI:30616	CHEBI:456216,CHEBI:15378	ATP	ADP,H(+)
RHEA:10608	O2 + reduced [NADPH--hemoprotein reductase] + trans-cinnamate = H(+) + H2O + oxidized [NADPH--hemoprotein reductase] + trans-4-coumarate	GENERIC:11964,CHEBI:15379	GENERIC:11965,CHEBI:15377,CHEBI:15378	reduced [NADPH--hemoprotein reductase],O2	oxidized [NADPH--hemoprotein reductase],H2O,H(+)
RHEA:10648	2-hydroxycyclohexan-1-one + H(+) + NADPH + O2 = 6-hydroxyhexan-6-olide + H2O + NADP(+)	CHEBI:15379,CHEBI:15378,CHEBI:57783	CHEBI:15377,CHEBI:58349	O2,H(+),NADPH	H2O,NADP(+)
RHEA:10656	guanidinoacetate + S-adenosyl-L-methionine = creatine + H(+) + S-adenosyl-L-homocysteine	CHEBI:59789	CHEBI:15378,CHEBI:57856	S-adenosyl-L-methionine	H(+),S-adenosyl-L-homocysteine
RHEA:10692	6-(2-amino-2-carboxyethyl)-7,8-dioxo-1,2,3,4,7,8-hexahydroquinoline-2,4-dicarboxylate + 3 O2 = H(+) + 2 H2O + 2 H2O2 + pyrroloquinoline quinone	CHEBI:15379	CHEBI:15377,CHEBI:16240,CHEBI:15378	O2	H2O,H2O2,H(+)
RHEA:10696	a holo-[mycocerosate synthase] + a long-chain fatty acid + ATP = a long-chain acyl-[mycocerosate synthase] + AMP + diphosphate	CHEBI:30616,CHEBI:57560	CHEBI:33019,CHEBI:456215	ATP,a long-chain fatty acid	diphosphate,AMP
RHEA:10704	ATP + L-valine + tRNA(Val) = AMP + diphosphate + L-valyl-tRNA(Val)	CHEBI:57762,CHEBI:30616	CHEBI:33019,CHEBI:456215	L-valine,ATP	diphosphate,AMP
RHEA:10712	L-phenylalanine + O2 = 2-phenylacetamide + CO2 + H2O	CHEBI:15379,CHEBI:58095	CHEBI:15377,CHEBI:16526	O2,L-phenylalanine	H2O,CO2
RHEA:10732	ATP + firefly D-luciferin + O2 = AMP + CO2 + diphosphate + firefly oxyluciferin + hnu	CHEBI:15379,CHEBI:30616	CHEBI:33019,CHEBI:30212,CHEBI:456215,CHEBI:16526	O2,ATP	diphosphate,hnu,AMP,CO2
RHEA:10744	(3S,4R)-3,4-dihydroxycyclohexa-1,5-diene-1,4-dicarboxylate + NAD(+) = 3,4-dihydroxybenzoate + CO2 + NADH	CHEBI:57540	CHEBI:57945,CHEBI:36241,CHEBI:16526	NAD(+)	NADH,3,4-dihydroxybenzoate,CO2
RHEA:10752	[beta-GlcNAc-(1->4)-Mur2Ac(oyl-L-Ala-gamma-D-Glu-L-Lys-D-Ala-D-Ala)](n) + n ATP + n D-aspartate = [beta-GlcNAc-(1->4)-Mur2Ac(oyl-L-Ala-gamma-D-Glu-6-N-(beta-D-Asp)-L-Lys-D-Ala-D-Ala)]n + n ADP + n H(+) + n phosphate	CHEBI:30616	CHEBI:456216,CHEBI:15378,CHEBI:43474	ATP	ADP,H(+),phosphate
RHEA:10764	(2R,3S,4S)-leucocyanidin + 2-oxoglutarate + O2 = (4S)-2,3-dehydroleucocyanidin + CO2 + H(+) + H2O + succinate	CHEBI:15379,CHEBI:16810	CHEBI:15377,CHEBI:30031,CHEBI:15378,CHEBI:16526	O2,2-oxoglutarate	H2O,succinate,H(+),CO2
