rheaid	reactionEquation	compoundID_L	compoundID_R	compoundName_L	compoundName_R
RHEA:10028	D-glutamate + H2O + O2 = 2-oxoglutarate + H2O2 + NH4(+)	CHEBI:15379,CHEBI:15377,CHEBI:29986	CHEBI:28938,CHEBI:16810,CHEBI:16240	O2,H2O,D-glutamate	NH4(+),2-oxoglutarate,H2O2
RHEA:10040	adenosine 3',5'-bisphosphate + H2O = AMP + phosphate	CHEBI:15377,CHEBI:58343	CHEBI:456215,CHEBI:43474	H2O,adenosine 3',5'-bisphosphate	AMP,phosphate
RHEA:10132	ATP + benzoate + CoA = AMP + benzoyl-CoA + diphosphate	CHEBI:57287,CHEBI:16150,CHEBI:30616	CHEBI:57369,CHEBI:33019,CHEBI:456215	CoA,benzoate,ATP	benzoyl-CoA,diphosphate,AMP
RHEA:10152	ATP + hydrogencarbonate + NH4(+) = ADP + carbamoyl phosphate + H(+) + H2O	CHEBI:28938,CHEBI:17544,CHEBI:30616	CHEBI:15377,CHEBI:456216,CHEBI:15378,CHEBI:58228	NH4(+),hydrogencarbonate,ATP	H2O,ADP,H(+),carbamoyl phosphate
RHEA:10192	ATP + H2O + sulfate(out) = ADP + H(+) + phosphate + sulfate(in)	CHEBI:15377,CHEBI:16189,CHEBI:30616	CHEBI:456216,CHEBI:15378,CHEBI:16189,CHEBI:43474	H2O,sulfate,ATP	ADP,H(+),sulfate,phosphate
RHEA:10272	a 1,2-diacyl-sn-glycerol + ATP = a 1,2-diacyl-sn-glycero-3-phosphate + ADP + H(+)	CHEBI:17815,CHEBI:30616	CHEBI:456216,CHEBI:58608,CHEBI:15378	a 1,2-diacyl-sn-glycerol,ATP	ADP,a 1,2-diacyl-sn-glycero-3-phosphate,H(+)
RHEA:10388	GTP + oxaloacetate = CO2 + GDP + phosphoenolpyruvate	CHEBI:16452,CHEBI:37565	CHEBI:58702,CHEBI:16526,CHEBI:58189	oxaloacetate,GTP	phosphoenolpyruvate,CO2,GDP
RHEA:10412	ADP-D-ribose + H2O = AMP + D-ribose 5-phosphate + 2 H(+)	CHEBI:15377,CHEBI:57967	CHEBI:456215,CHEBI:15378,CHEBI:78346	H2O,ADP-D-ribose	AMP,H(+),D-ribose 5-phosphate
RHEA:10512	(S)-malate + O2 = H2O2 + oxaloacetate	CHEBI:15379,CHEBI:15589	CHEBI:16240,CHEBI:16452	O2,(S)-malate	H2O2,oxaloacetate
RHEA:10524	2-oxoglutarate + H(+) = CO2 + succinate semialdehyde	CHEBI:16810,CHEBI:15378	CHEBI:57706,CHEBI:16526	2-oxoglutarate,H(+)	succinate semialdehyde,CO2
RHEA:10624	2 ATP + CO2 + H2O + NH4(+) = 2 ADP + carbamoyl phosphate + 3 H(+) + phosphate	CHEBI:28938,CHEBI:15377,CHEBI:16526,CHEBI:30616	CHEBI:456216,CHEBI:15378,CHEBI:58228,CHEBI:43474	NH4(+),H2O,CO2,ATP	ADP,H(+),carbamoyl phosphate,phosphate
RHEA:10748	H(+) + hydrogencarbonate = CO2 + H2O	CHEBI:17544,CHEBI:15378	CHEBI:15377,CHEBI:16526	hydrogencarbonate,H(+)	H2O,CO2
RHEA:10756	ATP + phosphate + pyruvate = AMP + diphosphate + H(+) + phosphoenolpyruvate	CHEBI:15361,CHEBI:43474,CHEBI:30616	CHEBI:33019,CHEBI:456215,CHEBI:15378,CHEBI:58702	pyruvate,phosphate,ATP	diphosphate,AMP,H(+),phosphoenolpyruvate
RHEA:10876	4-hydroxybenzoate + H(+) = CO2 + phenol	CHEBI:15378,CHEBI:17879	CHEBI:15882,CHEBI:16526	H(+),4-hydroxybenzoate	phenol,CO2
RHEA:11004	2 H(+) + NADH + O2 + salicylate = catechol + CO2 + H2O + NAD(+)	CHEBI:15379,CHEBI:57945,CHEBI:30762,CHEBI:15378	CHEBI:15377,CHEBI:18135,CHEBI:57540,CHEBI:16526	O2,NADH,salicylate,H(+)	H2O,catechol,NAD(+),CO2
RHEA:11072	anthranilate + 3 H(+) + NADPH + O2 = catechol + CO2 + NADP(+) + NH4(+)	CHEBI:15379,CHEBI:15378,CHEBI:57783,CHEBI:16567	CHEBI:28938,CHEBI:18135,CHEBI:16526,CHEBI:58349	O2,H(+),NADPH,anthranilate	NH4(+),catechol,CO2,NADP(+)
