rheaid	reactionEquation	compoundID_L	compoundID_R	compoundName_L	compoundName_R	direction
RHEA:10012	(R)-6-hydroxynicotine + H2O + O2 = 6-hydroxypseudooxynicotine + H2O2	CHEBI:58413	CHEBI:58682	(R)-6-hydroxynicotine	6-hydroxypseudooxynicotine	L>R
RHEA:10024	L-lysyl-[histone] + S-adenosyl-L-methionine = H(+) + N(6)-methyl-L-lysyl-[histone] + S-adenosyl-L-homocysteine	GENERIC:9845	GENERIC:9846	L-lysyl-[histone]	N(6)-methyl-L-lysyl-[histone]	L>R
RHEA:10036	4-hydroxy-3-methoxy-benzenemethanol + O2 = 4-hydroxy-3-methoxybenzaldehyde + H2O2	CHEBI:18353	CHEBI:18346	4-hydroxy-3-methoxy-benzenemethanol	4-hydroxy-3-methoxybenzaldehyde	L>R
RHEA:10096	a fatty acyl-[ACP] + S-adenosyl-L-methionine = an N-acyl-L-homoserine lactone + H(+) + holo-[ACP] + S-methyl-5'-thioadenosine	GENERIC:14125	CHEBI:55474	a fatty acyl-[ACP]	an N-acyl-L-homoserine lactone	L>R
RHEA:10104	2-oxoglutarate + gibberellin A20 + O2 = CO2 + gibberellin A1 + succinate	CHEBI:58526	CHEBI:58524	gibberellin A20	gibberellin A1	L>R
RHEA:10124	H(+) + NADPH + O2 + phenylacetone = benzyl acetate + H2O + NADP(+)	CHEBI:52052	CHEBI:52051	phenylacetone	benzyl acetate	L>R
RHEA:10156	dihydrochelirubine + O2 + reduced [NADPH--hemoprotein reductase] = 12-hydroxydihydrochelirubine + H(+) + H2O + oxidized [NADPH--hemoprotein reductase]	CHEBI:17789	CHEBI:15716	dihydrochelirubine	12-hydroxydihydrochelirubine	L>R
RHEA:10216	[DNA-directed RNA polymerase] + ATP = ADP + H(+) + phospho-[DNA-directed RNA polymerase]	GENERIC:11321	GENERIC:11322	[DNA-directed RNA polymerase]	phospho-[DNA-directed RNA polymerase]	L>R
RHEA:10220	ATP + L-tyrosine + tRNA(Tyr) = AMP + diphosphate + H(+) + L-tyrosyl-tRNA(Tyr)	GENERIC:9707	GENERIC:9706	tRNA(Tyr)	L-tyrosyl-tRNA(Tyr)	L>R
RHEA:10256	[(1->4)-6-phospho-alpha-D-glucosyl](n) + n ATP + n H2O = [(1->4)-3,6-bisphospho-alpha-D-glucosyl](n) + n AMP + 2n H(+) + n phosphate	POLYMER:12983	POLYMER:14598	[(1->4)-6-phospho-alpha-D-glucosyl](n)	[(1->4)-3,6-bisphospho-alpha-D-glucosyl](n)	L>R
RHEA:10260	ATP + H2O + Mg(2+)(out) = ADP + H(+) + Mg(2+)(in) + phosphate	CHEBI:18420	CHEBI:18420	Mg(2+)	Mg(2+)	L>R
RHEA:10276	5-diphospho-1D-myo-inositol 1,2,3,4,6-pentakisphosphate + ATP + H(+) = 1,5-bis(diphospho)-1D-myo-inositol 2,3,4,6-tetrakisphosphate + ADP	CHEBI:58628	CHEBI:77983	5-diphospho-1D-myo-inositol 1,2,3,4,6-pentakisphosphate	1,5-bis(diphospho)-1D-myo-inositol 2,3,4,6-tetrakisphosphate	L>R
RHEA:10280	1,7-dimethylxanthine + S-adenosyl-L-methionine = caffeine + H(+) + S-adenosyl-L-homocysteine	CHEBI:25858	CHEBI:27732	1,7-dimethylxanthine	caffeine	L>R
RHEA:10312	H(+) + NADH + O2 + terephthalate = (3S,4R)-3,4-dihydroxycyclohexa-1,5-diene-1,4-dicarboxylate + NAD(+)	CHEBI:30043	CHEBI:57412	terephthalate	(3S,4R)-3,4-dihydroxycyclohexa-1,5-diene-1,4-dicarboxylate	L>R
RHEA:10316	2-oxoglutarate + O2 + thymine = 5-hydroxymethyluracil + CO2 + succinate	CHEBI:17821	CHEBI:16964	thymine	5-hydroxymethyluracil	L>R
RHEA:10376	ATP + Cu(2+)(in) + H2O = ADP + Cu(2+)(out) + H(+) + phosphate	CHEBI:29036	CHEBI:29036	Cu(2+)	Cu(2+)	L>R
RHEA:10404	all-trans-beta-carotene + O2 = 2 retinal	CHEBI:17579	CHEBI:15035	all-trans-beta-carotene	retinal	L>R
RHEA:10444	(S)-reticuline + S-adenosyl-L-methionine = (S)-laudanine + H(+) + S-adenosyl-L-homocysteine	CHEBI:57873	CHEBI:75999	(S)-reticuline	(S)-laudanine	L>R
RHEA:10448	2-oxoglutarate + a flavanone + O2 = a flavone + CO2 + H2O + succinate	CHEBI:28863	CHEBI:24043	a flavanone	a flavone	L>R
RHEA:10452	2-(L-cystein-S-yl)-2-(1H-indol-3-yl)-acetonitrile + O2 + reduced [NADPH--hemoprotein reductase] = (R)-dihydrocamalexate + 2 H(+) + 2 H2O + hydrogen cyanide + oxidized [NADPH--hemoprotein reductase]	CHEBI:79191	CHEBI:79200	2-(L-cystein-S-yl)-2-(1H-indol-3-yl)-acetonitrile	(R)-dihydrocamalexate	L>R
RHEA:10488	5-formyltetrahydrofolate + ATP = 5,10-methenyltetrahydrofolate + ADP + phosphate	CHEBI:57457	CHEBI:57455	5-formyltetrahydrofolate	5,10-methenyltetrahydrofolate	L>R
RHEA:10496	L-arginyl-[myelin basic protein] + S-adenosyl-L-methionine = H(+) + N(omega)-methyl-L-arginyl-[myelin basic protein] + S-adenosyl-L-homocysteine	GENERIC:9594	GENERIC:9596	L-arginyl-[myelin basic protein]	N(omega)-methyl-L-arginyl-[myelin basic protein]	L>R
RHEA:10504	7alpha-hydroxycholest-4-en-3-one + H(+) + NADPH + O2 = 7alpha,12alpha-dihydroxycholest-4-en-3-one + H2O + NADP(+)	CHEBI:17899	CHEBI:28477	7alpha-hydroxycholest-4-en-3-one	7alpha,12alpha-dihydroxycholest-4-en-3-one	L>R
RHEA:10528	dihydrosanguinarine + O2 + reduced [NADPH--hemoprotein reductase] = 10-hydroxydihydrosanguinarine + H(+) + H2O + oxidized [NADPH--hemoprotein reductase]	CHEBI:17209	CHEBI:15878	dihydrosanguinarine	10-hydroxydihydrosanguinarine	L>R
RHEA:10580	(6S)-5,6,7,8-tetrahydrofolyl-(gamma-L-Glu)n + ATP + L-glutamate = (6S)-5,6,7,8-tetrahydrofolyl-(gamma-L-Glu)n+1 + ADP + H(+) + phosphate	POLYMER:14738	POLYMER:14740	(6S)-5,6,7,8-tetrahydrofolyl-(gamma-L-Glu)n	(6S)-5,6,7,8-tetrahydrofolyl-(gamma-L-Glu)n+1	L>R
RHEA:10588	4 (R)-methylmalonyl-CoA + a long-chain acyl-[mycocerosate synthase] + 12 H(+) + 8 NADPH = a tetramethylated-mycocerosoyl-[mycocerosate synthase] + 4 CO2 + 4 CoA + 4 H2O + 8 NADP(+)	GENERIC:13239,CHEBI:57326	GENERIC:12642	a long-chain acyl-[mycocerosate synthase],(R)-methylmalonyl-CoA	a tetramethylated-mycocerosoyl-[mycocerosate synthase]	L>R
RHEA:10592	a 3',5'-unsubstituted flavanone + O2 + reduced [NADPH--hemoprotein reductase] = a 3'-hydroxy,5'-unsubstituted flavanone + H(+) + H2O + oxidized [NADPH--hemoprotein reductase]	CHEBI:138897	CHEBI:138951	a 3',5'-unsubstituted flavanone	a 3'-hydroxy,5'-unsubstituted flavanone	L>R
RHEA:10596	ATP + L-tyrosyl-[protein] = ADP + H(+) + O-phospho-L-tyrosyl-[protein]	GENERIC:10136	GENERIC:10137	L-tyrosyl-[protein]	O-phospho-L-tyrosyl-[protein]	L>R
