rheaid	reactionEquation	compoundID_L	compoundID_R	compoundName_L	compoundName_R
RHEA:10252	H(+) + hydrogen sulfide + O-phospho-L-serine = L-cysteine + phosphate	CHEBI:57524,CHEBI:15378,CHEBI:29919	CHEBI:35235,CHEBI:43474	O-phospho-L-serine,H(+),hydrogen sulfide	L-cysteine,phosphate
RHEA:10264	alpha-D-glucose = beta-D-glucose	CHEBI:17925	CHEBI:15903	alpha-D-glucose	beta-D-glucose
RHEA:10308	a 1,2-diacylglycerol + CDP-choline = a 1,2-diacyl-sn-glycero-3-phosphocholine + CMP + H(+)	CHEBI:49172,CHEBI:58779	CHEBI:15378,CHEBI:60377,CHEBI:57643	a 1,2-diacylglycerol,CDP-choline	H(+),CMP,a 1,2-diacyl-sn-glycero-3-phosphocholine
RHEA:10332	a 2-acyl-sn-glycero-3-phosphocholine + an acyl-CoA = a 1,2-diacyl-sn-glycero-3-phosphocholine + CoA	CHEBI:57875,CHEBI:58342	CHEBI:57287,CHEBI:57643	a 2-acyl-sn-glycero-3-phosphocholine,an acyl-CoA	CoA,a 1,2-diacyl-sn-glycero-3-phosphocholine
RHEA:10396	an L-alpha-amino acid + H2O + NAD(+) = a 2-oxocarboxylate + H(+) + NADH + NH4(+)	CHEBI:15377,CHEBI:57540,CHEBI:59869	CHEBI:28938,CHEBI:57945,CHEBI:15378,CHEBI:35179	H2O,NAD(+),an L-alpha-amino acid	NH4(+),NADH,H(+),a 2-oxocarboxylate
RHEA:10440	D-glucono-1,5-lactone + H2O = D-gluconate + H(+)	CHEBI:15377,CHEBI:16217	CHEBI:18391,CHEBI:15378	H2O,D-glucono-1,5-lactone	D-gluconate,H(+)
RHEA:10468	D-xylulose 5-phosphate + phosphate = acetyl phosphate + D-glyceraldehyde 3-phosphate + H2O	CHEBI:57737,CHEBI:43474	CHEBI:15377,CHEBI:22191,CHEBI:59776	D-xylulose 5-phosphate,phosphate	H2O,acetyl phosphate,D-glyceraldehyde 3-phosphate
RHEA:10492	H2O + phosphocholine = choline + phosphate	CHEBI:15377,CHEBI:295975	CHEBI:15354,CHEBI:43474	H2O,phosphocholine	choline,phosphate
RHEA:10544	3 A + 3 H2O + hydrogen sulfide = 3 AH2 + H(+) + sulfite	CHEBI:15377,CHEBI:13193,CHEBI:29919	CHEBI:17499,CHEBI:15378,CHEBI:17359	H2O,A,hydrogen sulfide	AH2,H(+),sulfite
RHEA:10604	a 1,2-diacyl-sn-glycero-3-phosphocholine + H2O = a 1,2-diacyl-sn-glycerol + H(+) + phosphocholine	CHEBI:15377,CHEBI:57643	CHEBI:15378,CHEBI:17815,CHEBI:295975	H2O,a 1,2-diacyl-sn-glycero-3-phosphocholine	H(+),a 1,2-diacyl-sn-glycerol,phosphocholine
RHEA:10716	D-glucose 6-phosphate = 1D-myo-inositol 3-phosphate	CHEBI:61548	CHEBI:58401	D-glucose 6-phosphate	1D-myo-inositol 3-phosphate
RHEA:10760	citrate = acetate + oxaloacetate	CHEBI:16947	CHEBI:16452,CHEBI:30089	citrate	oxaloacetate,acetate
RHEA:10824	(S)-malate + NADP(+) = H(+) + NADPH + oxaloacetate	CHEBI:15589,CHEBI:58349	CHEBI:15378,CHEBI:57783,CHEBI:16452	(S)-malate,NADP(+)	H(+),NADPH,oxaloacetate
RHEA:10868	a 1,2-diacyl-sn-glycerol + an acyl-CoA = a triacyl-sn-glycerol + CoA	CHEBI:17815,CHEBI:58342	CHEBI:57287,CHEBI:64615	a 1,2-diacyl-sn-glycerol,an acyl-CoA	CoA,a triacyl-sn-glycerol
RHEA:10960	(S)-lactate = (R)-lactate	CHEBI:16651	CHEBI:16004	(S)-lactate	(R)-lactate
RHEA:10968	a carboxylate + CoA + GTP = an acyl-CoA + GDP + phosphate	CHEBI:57287,CHEBI:29067,CHEBI:37565	CHEBI:58342,CHEBI:58189,CHEBI:43474	CoA,a carboxylate,GTP	an acyl-CoA,GDP,phosphate
RHEA:10984	(S)-lactate + oxaloacetate = (S)-malate + pyruvate	CHEBI:16651,CHEBI:16452	CHEBI:15361,CHEBI:15589	(S)-lactate,oxaloacetate	pyruvate,(S)-malate
RHEA:10992	glycolate + NADP(+) = glyoxylate + H(+) + NADPH	CHEBI:29805,CHEBI:58349	CHEBI:36655,CHEBI:15378,CHEBI:57783	glycolate,NADP(+)	glyoxylate,H(+),NADPH
RHEA:11092	NAD(+) + sn-glycerol 3-phosphate = dihydroxyacetone phosphate + H(+) + NADH	CHEBI:57540,CHEBI:57597	CHEBI:57945,CHEBI:15378,CHEBI:57642	NAD(+),sn-glycerol 3-phosphate	NADH,H(+),dihydroxyacetone phosphate
RHEA:11096	NADP(+) + sn-glycerol 3-phosphate = dihydroxyacetone phosphate + H(+) + NADPH	CHEBI:57597,CHEBI:58349	CHEBI:15378,CHEBI:57783,CHEBI:57642	sn-glycerol 3-phosphate,NADP(+)	H(+),NADPH,dihydroxyacetone phosphate
RHEA:11156	H2O + L-valine + NADP(+) = 3-methyl-2-oxobutanoate + H(+) + NADPH + NH4(+)	CHEBI:57762,CHEBI:15377,CHEBI:58349	CHEBI:28938,CHEBI:11851,CHEBI:15378,CHEBI:57783	L-valine,H2O,NADP(+)	NH4(+),3-methyl-2-oxobutanoate,H(+),NADPH
RHEA:11172	(6S)-5-methyl-5,6,7,8-tetrahydrofolate + L-homocysteine = (6S)-5,6,7,8-tetrahydrofolate + L-methionine	CHEBI:18608,CHEBI:58199	CHEBI:57844,CHEBI:57453	(6S)-5-methyl-5,6,7,8-tetrahydrofolate,L-homocysteine	L-methionine,(6S)-5,6,7,8-tetrahydrofolate
RHEA:11232	3'-phosphoadenylyl sulfate + H2O = adenosine 3',5'-bisphosphate + 2 H(+) + sulfate	CHEBI:15377,CHEBI:58339	CHEBI:58343,CHEBI:15378,CHEBI:16189	H2O,3'-phosphoadenylyl sulfate	adenosine 3',5'-bisphosphate,H(+),sulfate
RHEA:11356	A + H(+) + NADH = AH2 + NAD(+)	CHEBI:57945,CHEBI:15378,CHEBI:13193	CHEBI:17499,CHEBI:57540	NADH,H(+),A	AH2,NAD(+)
RHEA:11484	2 [Fe(III)cytochrome c](out) + a quinol = 2 [Fe(II)cytochrome c](out) + a quinone + 2 H(+)(out)	GENERIC:14399,CHEBI:24646	GENERIC:10350,CHEBI:132124,CHEBI:15378	[Fe(III)cytochrome c],a quinol	[Fe(II)cytochrome c],a quinone,H(+)
RHEA:11516	H2O + succinyl-CoA = CoA + H(+) + succinate	CHEBI:15377,CHEBI:57292	CHEBI:57287,CHEBI:30031,CHEBI:15378	H2O,succinyl-CoA	CoA,succinate,H(+)
RHEA:11572	FAD + H(+) + H2O + lithocholate = chenodeoxycholate + FADH2	CHEBI:15377,CHEBI:57692,CHEBI:29744,CHEBI:15378	CHEBI:36234,CHEBI:58307	H2O,FAD,lithocholate,H(+)	chenodeoxycholate,FADH2
RHEA:11612	H2O + L-glutamate + NADP(+) = 2-oxoglutarate + H(+) + NADPH + NH4(+)	CHEBI:15377,CHEBI:29985,CHEBI:58349	CHEBI:28938,CHEBI:16810,CHEBI:15378,CHEBI:57783	H2O,L-glutamate,NADP(+)	NH4(+),2-oxoglutarate,H(+),NADPH
RHEA:11692	NAD(+) + NADPH = NADH + NADP(+)	CHEBI:57783,CHEBI:57540	CHEBI:57945,CHEBI:58349	NADPH,NAD(+)	NADH,NADP(+)
RHEA:11724	[thioredoxin]-disulfide + adenosine 3',5'-bisphosphate + 2 H(+) + sulfite = 3'-phosphoadenylyl sulfate + [thioredoxin]-dithiol	GENERIC:10700,CHEBI:58343,CHEBI:15378,CHEBI:17359	GENERIC:10698,CHEBI:58339	[thioredoxin]-disulfide,adenosine 3',5'-bisphosphate,H(+),sulfite	[thioredoxin]-dithiol,3'-phosphoadenylyl sulfate
RHEA:11740	2 glutathione + NADP(+) = glutathione disulfide + H(+) + NADPH	CHEBI:57925,CHEBI:58349	CHEBI:58297,CHEBI:15378,CHEBI:57783	glutathione,NADP(+)	glutathione disulfide,H(+),NADPH
RHEA:11784	H2O + L-aspartate + NADP(+) = H(+) + NADPH + NH4(+) + oxaloacetate	CHEBI:15377,CHEBI:29991,CHEBI:58349	CHEBI:28938,CHEBI:15378,CHEBI:57783,CHEBI:16452	H2O,L-aspartate,NADP(+)	NH4(+),H(+),NADPH,oxaloacetate
RHEA:11788	H2O + L-aspartate + NAD(+) = H(+) + NADH + NH4(+) + oxaloacetate	CHEBI:15377,CHEBI:29991,CHEBI:57540	CHEBI:28938,CHEBI:57945,CHEBI:15378,CHEBI:16452	H2O,L-aspartate,NAD(+)	NH4(+),NADH,H(+),oxaloacetate
RHEA:11844	acetyl-CoA + formate = CoA + pyruvate	CHEBI:15740,CHEBI:57288	CHEBI:57287,CHEBI:15361	formate,acetyl-CoA	CoA,pyruvate
RHEA:11848	[thioredoxin]-disulfide + acetyl phosphate + H2O + trimethylamine = [thioredoxin]-dithiol + betaine + H(+) + phosphate	GENERIC:10700,CHEBI:15377,CHEBI:22191,CHEBI:58389	GENERIC:10698,CHEBI:15378,CHEBI:17750,CHEBI:43474	[thioredoxin]-disulfide,H2O,acetyl phosphate,trimethylamine	[thioredoxin]-dithiol,H(+),betaine,phosphate
RHEA:11888	an aldehyde + H2O + NADP(+) = a carboxylate + 2 H(+) + NADPH	CHEBI:15377,CHEBI:17478,CHEBI:58349	CHEBI:15378,CHEBI:57783,CHEBI:29067	H2O,an aldehyde,NADP(+)	H(+),NADPH,a carboxylate
RHEA:12116	A + H2 = AH2	CHEBI:18276,CHEBI:13193	CHEBI:17499	H2,A	AH2
RHEA:12128	2 L-glutamate + 2 oxidized [2Fe-2S]-[ferredoxin] = 2-oxoglutarate + 2 H(+) + L-glutamine + 2 reduced [2Fe-2S]-[ferredoxin]	GENERIC:10000,CHEBI:29985	GENERIC:10001,CHEBI:16810,CHEBI:15378,CHEBI:58359	oxidized [2Fe-2S]-[ferredoxin],L-glutamate	reduced [2Fe-2S]-[ferredoxin],2-oxoglutarate,H(+),L-glutamine
RHEA:12232	[thioredoxin]-disulfide + acetyl phosphate + H2O + NH4(+) = [thioredoxin]-dithiol + glycine + H(+) + phosphate	CHEBI:28938,GENERIC:10700,CHEBI:15377,CHEBI:22191	GENERIC:10698,CHEBI:15378,CHEBI:57305,CHEBI:43474	NH4(+),[thioredoxin]-disulfide,H2O,acetyl phosphate	[thioredoxin]-dithiol,H(+),glycine,phosphate
RHEA:12412	(2R)-3-phosphoglycerate + H2O = (R)-glycerate + phosphate	CHEBI:15377,CHEBI:58272	CHEBI:16659,CHEBI:43474	H2O,(2R)-3-phosphoglycerate	(R)-glycerate,phosphate
RHEA:12460	(S)-malate = fumarate + H2O	CHEBI:15589	CHEBI:15377,CHEBI:29806	(S)-malate	H2O,fumarate
RHEA:12721	putrescine + S-adenosyl 3-(methylsulfanyl)propylamine = H(+) + S-methyl-5'-thioadenosine + spermidine	CHEBI:57443,CHEBI:326268	CHEBI:57834,CHEBI:15378,CHEBI:17509	S-adenosyl 3-(methylsulfanyl)propylamine,putrescine	spermidine,H(+),S-methyl-5'-thioadenosine
RHEA:12813	L-glutamate = D-glutamate	CHEBI:29985	CHEBI:29986	L-glutamate	D-glutamate
RHEA:12825	[thioredoxin]-disulfide + acetyl phosphate + H2O + methylamine = [thioredoxin]-dithiol + H(+) + phosphate + sarcosine	GENERIC:10700,CHEBI:15377,CHEBI:22191,CHEBI:59338	GENERIC:10698,CHEBI:15378,CHEBI:57433,CHEBI:43474	[thioredoxin]-disulfide,H2O,acetyl phosphate,methylamine	[thioredoxin]-dithiol,H(+),sarcosine,phosphate
