rheaid	reactionEquation	compoundID_L	compoundID_R	compoundName_L	compoundName_R
RHEA:10000	H2O + pentanamide = NH4(+) + pentanoate	CHEBI:16459	CHEBI:31011	pentanamide	pentanoate
RHEA:10004	benzyl isothiocyanate = benzyl thiocyanate	CHEBI:17484	CHEBI:16017	benzyl isothiocyanate	benzyl thiocyanate
RHEA:10008	[protein]-dithiol + a hydroperoxide = [protein]-disulfide + an alcohol + H2O	GENERIC:10594,CHEBI:35924	GENERIC:10593	[protein]-dithiol,a hydroperoxide	[protein]-disulfide
RHEA:10016	H2O + O-sinapoylcholine = choline + H(+) + trans-sinapate	CHEBI:16353	CHEBI:30023	O-sinapoylcholine	trans-sinapate
RHEA:10020	H2O + L-saccharopine + NADP(+) = (S)-2-amino-6-oxohexanoate + H(+) + L-glutamate + NADPH	CHEBI:57951	NA	L-saccharopine	NA
RHEA:10032	[protein]-C-terminal-L-glutamine + H2O = [protein]-C-terminal-L-glutamate + NH4(+)	GENERIC:14703	GENERIC:14704	[protein]-C-terminal-L-glutamine	[protein]-C-terminal-L-glutamate
RHEA:10044	cyclohexanol + NAD(+) = cyclohexanone + H(+) + NADH	CHEBI:18099	CHEBI:17854	cyclohexanol	cyclohexanone
RHEA:10048	methanethiol + O-acetyl-L-homoserine = acetate + H(+) + L-methionine	CHEBI:57716	NA	O-acetyl-L-homoserine	NA
RHEA:10052	(R)-2-hydroxy-4-methylpentanoate + NAD(+) = 4-methyl-2-oxopentanoate + H(+) + NADH	CHEBI:55535	CHEBI:17865	(R)-2-hydroxy-4-methylpentanoate	4-methyl-2-oxopentanoate
RHEA:10056	(3S)-3-aminobutanoyl-CoA = (2E)-butenoyl-CoA + NH4(+)	CHEBI:57366	NA	(3S)-3-aminobutanoyl-CoA	NA
RHEA:10060	acetyl-CoA + D-tryptophan = CoA + H(+) + N-acetyl-D-tryptophan	CHEBI:57719	CHEBI:57877	D-tryptophan	N-acetyl-D-tryptophan
RHEA:10064	(6R)-5,10-methylene-5,6,7,8-tetrahydrofolate + D-alanine + H2O = (6S)-5,6,7,8-tetrahydrofolate + 2-methylserine	NA	CHEBI:58275	NA	2-methylserine
RHEA:10068	4-O-[(D-ribitylphospho)(n)-D-ribitylphospho-(2R)-glycerylphospho]-N-acetyl-beta-D-mannosaminyl-(1->4)-N-acetyl-alpha-D-glucosaminyl di-trans,octa-cis-undecaprenyl diphosphate + n UDP-alpha-D-glucose = 4-O-[(2-beta-D-glucosyl-D-ribitylphospho)(n)-D-ribitylphospho-(2R)-glycerylphospho]-N-acetyl-beta-D-mannosaminyl-(1->4)-N-acetyl-alpha-D-glucosaminyl di-trans,octa-cis-undecaprenyl diphosphate + n H(+) + n UDP	POLYMER:12833	POLYMER:14260	4-O-[(D-ribitylphospho)(n)-D-ribitylphospho-(2R)-glycerylphospho]-N-acetyl-beta-D-mannosaminyl-(1->4)-N-acetyl-alpha-D-glucosaminyl di-trans,octa-cis-undecaprenyl diphosphate	4-O-[(2-beta-D-glucosyl-D-ribitylphospho)(n)-D-ribitylphospho-(2R)-glycerylphospho]-N-acetyl-beta-D-mannosaminyl-(1->4)-N-acetyl-alpha-D-glucosaminyl di-trans,octa-cis-undecaprenyl diphosphate
RHEA:10076	H2O + lactose = D-galactose + D-glucose	CHEBI:17716	NA	lactose	NA
RHEA:10080	dihydrophloroglucinol + NADP(+) = 1,3,5-trihydroxybenzene + NADPH	CHEBI:77638	CHEBI:16204	dihydrophloroglucinol	1,3,5-trihydroxybenzene
RHEA:10088	sucrose + UDP-alpha-D-galactose = 6(F)-alpha-D-galactosylsucrose + H(+) + UDP	NA	CHEBI:17332	NA	6(F)-alpha-D-galactosylsucrose
RHEA:10092	a 2'-deoxyribonucleoside 3'-phosphate + H2O = a 2'-deoxyribonucleoside + phosphate	CHEBI:131705	CHEBI:18274	a 2'-deoxyribonucleoside 3'-phosphate	a 2'-deoxyribonucleoside
RHEA:10100	a sterol ester + H2O = a fatty acid + a sterol + H(+)	CHEBI:35915	CHEBI:15889	a sterol ester	a sterol
RHEA:10108	(7S)-salutaridinol + NADP(+) = H(+) + NADPH + salutaridine	CHEBI:58463	CHEBI:58061	(7S)-salutaridinol	salutaridine
RHEA:10112	L-homocysteine + L-serine = H2O + L,L-cystathionine	NA	CHEBI:58161	NA	L,L-cystathionine
RHEA:10120	adenosine in double-stranded RNA + H(+) + H2O = inosine in double-stranded RNA + NH4(+)	GENERIC:13885	GENERIC:13886	adenosine in double-stranded RNA	inosine in double-stranded RNA
RHEA:10128	all-trans-violaxanthin = all-trans-neoxanthin	CHEBI:35288	CHEBI:32446	all-trans-violaxanthin	all-trans-neoxanthin
RHEA:10140	NADP(+) + prostaglandin F2alpha = H(+) + NADPH + prostaglandin D2	CHEBI:57404	CHEBI:57406	prostaglandin F2alpha	prostaglandin D2
RHEA:10144	a ribonucleoside 3'-phosphate + H2O = a ribonucleoside + phosphate	CHEBI:13197	CHEBI:18254	a ribonucleoside 3'-phosphate	a ribonucleoside
RHEA:10148	blasticidin S + H(+) + H2O = deaminohydroxyblasticidin S + NH4(+)	CHEBI:57289	CHEBI:57697	blasticidin S	deaminohydroxyblasticidin S
RHEA:10160	L-iditol + NAD(+) = H(+) + keto-L-sorbose + NADH	CHEBI:18202	CHEBI:13172	L-iditol	keto-L-sorbose
RHEA:10164	(2R)-2-phosphoglycerate = H2O + phosphoenolpyruvate	CHEBI:58289	NA	(2R)-2-phosphoglycerate	NA
RHEA:10168	15,16-dihydrobiliverdin + oxidized 2[4Fe-4S]-[ferredoxin] = biliverdin IXalpha + 2 H(+) + reduced 2[4Fe-4S]-[ferredoxin]	GENERIC:10004,CHEBI:57899	GENERIC:10002,CHEBI:57991	oxidized 2[4Fe-4S]-[ferredoxin],15,16-dihydrobiliverdin	reduced 2[4Fe-4S]-[ferredoxin],biliverdin IXalpha
