rheaid	reactionEquation	compoundID_L	compoundID_R	compoundName_L	compoundName_R	direction
RHEA:10000	H2O + pentanamide = NH4(+) + pentanoate	CHEBI:16459	CHEBI:31011	pentanamide	pentanoate	L<>R
RHEA:10004	benzyl isothiocyanate = benzyl thiocyanate	CHEBI:17484	CHEBI:16017	benzyl isothiocyanate	benzyl thiocyanate	L<>R
RHEA:10008	[protein]-dithiol + a hydroperoxide = [protein]-disulfide + an alcohol + H2O	GENERIC:10594,CHEBI:35924	GENERIC:10593	[protein]-dithiol,a hydroperoxide	[protein]-disulfide	L<>R
RHEA:10016	H2O + O-sinapoylcholine = choline + H(+) + trans-sinapate	CHEBI:16353	CHEBI:30023	O-sinapoylcholine	trans-sinapate	L<>R
RHEA:10032	[protein]-C-terminal-L-glutamine + H2O = [protein]-C-terminal-L-glutamate + NH4(+)	GENERIC:14703	GENERIC:14704	[protein]-C-terminal-L-glutamine	[protein]-C-terminal-L-glutamate	L<>R
RHEA:10044	cyclohexanol + NAD(+) = cyclohexanone + H(+) + NADH	CHEBI:18099	CHEBI:17854	cyclohexanol	cyclohexanone	L<>R
RHEA:10052	(R)-2-hydroxy-4-methylpentanoate + NAD(+) = 4-methyl-2-oxopentanoate + H(+) + NADH	CHEBI:55535	CHEBI:17865	(R)-2-hydroxy-4-methylpentanoate	4-methyl-2-oxopentanoate	L<>R
RHEA:10060	acetyl-CoA + D-tryptophan = CoA + H(+) + N-acetyl-D-tryptophan	CHEBI:57719	CHEBI:57877	D-tryptophan	N-acetyl-D-tryptophan	L<>R
RHEA:10068	4-O-[(D-ribitylphospho)(n)-D-ribitylphospho-(2R)-glycerylphospho]-N-acetyl-beta-D-mannosaminyl-(1->4)-N-acetyl-alpha-D-glucosaminyl di-trans,octa-cis-undecaprenyl diphosphate + n UDP-alpha-D-glucose = 4-O-[(2-beta-D-glucosyl-D-ribitylphospho)(n)-D-ribitylphospho-(2R)-glycerylphospho]-N-acetyl-beta-D-mannosaminyl-(1->4)-N-acetyl-alpha-D-glucosaminyl di-trans,octa-cis-undecaprenyl diphosphate + n H(+) + n UDP	POLYMER:12833	POLYMER:14260	4-O-[(D-ribitylphospho)(n)-D-ribitylphospho-(2R)-glycerylphospho]-N-acetyl-beta-D-mannosaminyl-(1->4)-N-acetyl-alpha-D-glucosaminyl di-trans,octa-cis-undecaprenyl diphosphate	4-O-[(2-beta-D-glucosyl-D-ribitylphospho)(n)-D-ribitylphospho-(2R)-glycerylphospho]-N-acetyl-beta-D-mannosaminyl-(1->4)-N-acetyl-alpha-D-glucosaminyl di-trans,octa-cis-undecaprenyl diphosphate	L<>R
RHEA:10080	dihydrophloroglucinol + NADP(+) = 1,3,5-trihydroxybenzene + NADPH	CHEBI:77638	CHEBI:16204	dihydrophloroglucinol	1,3,5-trihydroxybenzene	L<>R
RHEA:10092	a 2'-deoxyribonucleoside 3'-phosphate + H2O = a 2'-deoxyribonucleoside + phosphate	CHEBI:131705	CHEBI:18274	a 2'-deoxyribonucleoside 3'-phosphate	a 2'-deoxyribonucleoside	L<>R
RHEA:10100	a sterol ester + H2O = a fatty acid + a sterol + H(+)	CHEBI:35915	CHEBI:15889	a sterol ester	a sterol	L<>R
RHEA:10108	(7S)-salutaridinol + NADP(+) = H(+) + NADPH + salutaridine	CHEBI:58463	CHEBI:58061	(7S)-salutaridinol	salutaridine	L<>R
