rheaid	reactionEquation	L	R
RHEA:10000	H2O + pentanamide = NH4(+) + pentanoate	CHEBI:15377, CHEBI:16459	CHEBI:28938, CHEBI:31011
RHEA:10004	benzyl isothiocyanate = benzyl thiocyanate	CHEBI:17484	CHEBI:16017
RHEA:10008	[protein]-dithiol + a hydroperoxide = [protein]-disulfide + an alcohol + H2O	GENERIC:10594, CHEBI:35924	GENERIC:10593, CHEBI:15377, CHEBI:30879
RHEA:10012	(R)-6-hydroxynicotine + H2O + O2 = 6-hydroxypseudooxynicotine + H2O2	CHEBI:15379, CHEBI:15377, CHEBI:58413	CHEBI:16240, CHEBI:58682
RHEA:10016	H2O + O-sinapoylcholine = choline + H(+) + trans-sinapate	CHEBI:15377, CHEBI:16353	CHEBI:30023, CHEBI:15378, CHEBI:15354
RHEA:10020	H2O + L-saccharopine + NADP(+) = (S)-2-amino-6-oxohexanoate + H(+) + L-glutamate + NADPH	CHEBI:15377, CHEBI:57951, CHEBI:58349	CHEBI:29985, CHEBI:15378, CHEBI:57783, CHEBI:58321
RHEA:10024	L-lysyl-[histone] + S-adenosyl-L-methionine = H(+) + N(6)-methyl-L-lysyl-[histone] + S-adenosyl-L-homocysteine	CHEBI:59789, GENERIC:9845	CHEBI:15378, CHEBI:57856, GENERIC:9846
RHEA:10028	D-glutamate + H2O + O2 = 2-oxoglutarate + H2O2 + NH4(+)	CHEBI:15379, CHEBI:15377, CHEBI:29986	CHEBI:28938, CHEBI:16810, CHEBI:16240
RHEA:10032	[protein]-C-terminal-L-glutamine + H2O = [protein]-C-terminal-L-glutamate + NH4(+)	CHEBI:15377, GENERIC:14703	CHEBI:28938, GENERIC:14704
RHEA:10036	4-hydroxy-3-methoxy-benzenemethanol + O2 = 4-hydroxy-3-methoxybenzaldehyde + H2O2	CHEBI:15379, CHEBI:18353	CHEBI:16240, CHEBI:18346
RHEA:10040	adenosine 3',5'-bisphosphate + H2O = AMP + phosphate	CHEBI:15377, CHEBI:58343	CHEBI:456215, CHEBI:43474
RHEA:10044	cyclohexanol + NAD(+) = cyclohexanone + H(+) + NADH	CHEBI:18099, CHEBI:57540	CHEBI:57945, CHEBI:17854, CHEBI:15378
RHEA:10048	methanethiol + O-acetyl-L-homoserine = acetate + H(+) + L-methionine	CHEBI:16007, CHEBI:57716	CHEBI:57844, CHEBI:15378, CHEBI:30089
RHEA:10052	(R)-2-hydroxy-4-methylpentanoate + NAD(+) = 4-methyl-2-oxopentanoate + H(+) + NADH	CHEBI:55535, CHEBI:57540	CHEBI:57945, CHEBI:15378, CHEBI:17865
RHEA:10056	(3S)-3-aminobutanoyl-CoA = (2E)-butenoyl-CoA + NH4(+)	CHEBI:57366	CHEBI:28938, CHEBI:57332
RHEA:10060	acetyl-CoA + D-tryptophan = CoA + H(+) + N-acetyl-D-tryptophan	CHEBI:57719, CHEBI:57288	CHEBI:57287, CHEBI:15378, CHEBI:57877
RHEA:10064	(6R)-5,10-methylene-5,6,7,8-tetrahydrofolate + D-alanine + H2O = (6S)-5,6,7,8-tetrahydrofolate + 2-methylserine	CHEBI:15377, CHEBI:57416, CHEBI:15636	CHEBI:58275, CHEBI:57453
